Datetime,Tweet Id,Text
2022-07-05 17:45:50+00:00,1544377023749099521,What do y’all think? #strangerthingsseason4 #StrangerThings4 https://t.co/lZaVUxot9F
2022-07-05 17:45:26+00:00,1544376926126673921,I really need to stop calling Vecna “Veronica” #strangerthingsseason4 #StrangerThings4
2022-07-05 17:44:57+00:00,1544376801069342720,Vecna cracking down on Hawkins honey #strangerthingsseason4 https://t.co/yXCaAXa66l
2022-07-05 17:44:50+00:00,1544376773932191746,"Okay… there’s no Russian prison capable of holding David Harbour. 

#strangerthingsseason4 #StrangerThings4… https://t.co/coPwkKUN9O"
2022-07-05 17:44:21+00:00,1544376652775538688,"This is the tweet!
Up The Irons!
#IronMaiden #strangerthingsseason4 https://t.co/rRzfaVghQd"
2022-07-05 17:44:14+00:00,1544376621213405186,The freezer #strangerthingsseason4 https://t.co/zURrAbt5AP
2022-07-05 17:42:23+00:00,1544376155184148480,"Was hoping #strangerthingsseason4 was gonna end with haunting drone shot of streets of Hawkins accompanied by ""Citi… https://t.co/Vff41pFSEz"
2022-07-05 17:42:19+00:00,1544376140445503492,"I'm not above admitting when I'm wrong... 
I shit on #StrangerThings4 when it was announced because of how horrible… https://t.co/JO0zVDkkth"
2022-07-05 17:41:34+00:00,1544375950149828609,I want a shirt paying tribute to netflix's amazing work on the #strangerthingsseason4  subtitles for S4 but I'm not… https://t.co/L3dXmIFHbd
2022-07-05 17:41:07+00:00,1544375836580749313,"Omg imagine in season 5, we get to see what max wrote to everyone in their letters, bc she doesn’t make it😭 na I wo… https://t.co/dQyXCaN904"
2022-07-05 17:40:38+00:00,1544375716908863489,"Random tweet... yeah I know most of my tweets are pretty random, but Stranger Things? 

Is it worth watching?

#strangerthingsseason4"
2022-07-05 17:40:29+00:00,1544375679923687424,"Stranger Things S4

#StrangerThings #strangerthingsseason4 #MIKEWHEELER #ELEVEN #one #Henry #Vecna #cinematography… https://t.co/3fysh2nIqa"
2022-07-05 17:40:19+00:00,1544375634981429250,"About TS4 Vol.2 I don't know if I loved it, if I hated it, if I'm happy with the ending, if I didn't like the endin… https://t.co/dKsXAdezZ3"
2022-07-05 17:40:15+00:00,1544375620179722251,Was going to watch the last episode of #strangerthingsseason4 tonight...but seeing the UK Government finally going… https://t.co/2PIK83vekY
2022-07-05 17:40:08+00:00,1544375591549521920,Should you increase your marketing budget during economic crisis? #strangerthingsseason4 #Newsnight #business https://t.co/vzSMdAs38G
2022-07-05 17:39:48+00:00,1544375508422500353,this is the only good thing to come out of #strangerthingsseason4 https://t.co/Xnl7Qhp4nO
2022-07-05 17:39:00+00:00,1544375306705948672,"Best friendship on Netflix has GOTTA BE Robin and Steve 
#strangerthingsseason4"
2022-07-05 17:38:51+00:00,1544375266356518912,Happy 🥲🥲 max nd Lucas #strangerthingsseason4 #StrangerThings4 https://t.co/AHtK0ze2rf
2022-07-05 17:37:58+00:00,1544375043555303426,The duffer Brothers have taken Stranger things to a whole new level. Man imagine ending a season like this...I can'… https://t.co/JJ4nsXR2fr
2022-07-05 17:37:47+00:00,1544374998596558862,This man better have the eye or hand of vecna. I BELIEVE #dungeonsanddragons #EDDIEMUNSON #handofvecna… https://t.co/0wQ5zYYyMS
2022-07-05 17:37:29+00:00,1544374924172730369,"The joy of knowing you'll sleep with a roof under your head tonight.🥺🥺  

God bless Apostle Chibuzor🙏🙏🙏… https://t.co/IqamBc2K4B"
2022-07-05 17:37:08+00:00,1544374837430345729,"""Never give up"" stickers or t-shirt or something else you need.
Here: https://t.co/v4UnBbobF1

#redbubble… https://t.co/erlvBz4Bwq"
2022-07-05 17:36:30+00:00,1544374675773464577,I haven’t watched vol 2 yet #StrangerThings4Vol2 #strangerthingsseason4 #StrangerThings4
2022-07-05 17:35:19+00:00,1544374378325872640,@Soul_Art8 Change the clouds to red and it's #strangerthingsseason4
2022-07-05 17:34:35+00:00,1544374193105559555,8 Things you didn't know about Millie Bobby Brown #ThorLoveAndThunder #ENGvsIND #StrangerThings5… https://t.co/d08h38KXKQ
2022-07-05 17:33:55+00:00,1544374024867807234,"waiting for you 😈😈😈

https://t.co/evRPHNX2LL

#buyingfeetpics #buyingconent #SellingContent #onlyfansgirl #sexygirl #strangerthingsseason4"
2022-07-05 17:33:31+00:00,1544373925278351361,7 Things you didn't know about Maya Hawke #ThorLoveAndThunder #ENGvsIND #StrangerThings5 #strangerthingsseason4… https://t.co/ra83ecVD9H
2022-07-05 17:33:30+00:00,1544373920874352645,"I'm thinking of making an Eddie Munson fanart! 50 likes and I'll do it! 

#strangerthingsseason4 #StrangerThings4… https://t.co/5yg25Xxct1"
2022-07-05 17:32:54+00:00,1544373771225731078,"Now that it’s been a few days, ✨slight✨ #strangerthingsseason4 spoilers…

Nancy won back a FEW points this season b… https://t.co/EGKN4lc60t"
2022-07-05 17:32:15+00:00,1544373607689773058,I need stranger things moots PLEASE #sttwt #strangerthingsseason4 #StrangerThings4Vol2
2022-07-05 17:32:03+00:00,1544373556489998336,She’s a 4 but she’s a good listener #ThorLoveAndThunder #ENGvsIND #strangerthingsseason4
2022-07-05 17:31:39+00:00,1544373454790606852,Omg Will's speech to Mike in the van made me cry. #strangerthingsseason4
2022-07-05 17:31:28+00:00,1544373409374683139,stranger things themes hit different #strangerthingsseason4 https://t.co/Ol8kxCS1LM
2022-07-05 17:31:27+00:00,1544373404911935489,"I’m fresh out of tears!!!
Eddie was a hero 😖😭 
.
#StrangerThings4 
#strangerthingsseason4 #StrangerThings5 https://t.co/q5c3CAXitl"
2022-07-05 17:31:13+00:00,1544373345147408396,When max’s bones started breaking I lost it. Lol never forgetting that 😭 #strangerthingsseason4
2022-07-05 17:30:08+00:00,1544373074673299456,"GOOD MORNING EDDIE NATION
-
-
-
-
#eddiemunson #steveharrington #steddie #dustinhenderson #StrangerThings… https://t.co/hJjscucue2"
2022-07-05 17:29:42+00:00,1544372963381809153,"Eddie Munson created the Big Bang by rocking throughout time and space.

#strangerthingsseason4  #EDDIEMUNSON"
2022-07-05 17:29:34+00:00,1544372930418720768,"New Video 💫 Finally got my hands on the brilliant Eddie from Stranger Things Funko Pop! 🎸 

Link:… https://t.co/GzfqTV9mDZ"
2022-07-05 17:29:33+00:00,1544372927042297856,7 Things you didn't know about Joe Keery #ThorLoveAndThunder #ENGvsIND #StrangerThings5 #strangerthingsseason4… https://t.co/7fBcdtxlP3
2022-07-05 17:29:24+00:00,1544372889834643458,@3hobbits Be awesome if we heard some 80s Rush in #strangerthingsseason4
2022-07-05 17:29:16+00:00,1544372857572139009,Recently finished #StrangerThings4 and it made me think of Steve meeting Casey Jones. I drew some art of the idea.… https://t.co/qi0uBOtSV1
2022-07-05 17:29:06+00:00,1544372814161055745,"I am terrified!!! I’m babysitting at this house and I was in the living room and I saw THE clock!!!! Keep in mind,… https://t.co/bxS0gNsBxd"
2022-07-05 17:29:00+00:00,1544372790089945088,"i hope there's a heaven and Chrissy Cunningham and Eddie Munson are dating up there 🥺

#strangerthingsspoilers… https://t.co/tqtit2Nt3H"
2022-07-05 17:28:57+00:00,1544372775275618306,I think I have a new #Cynema episode coming after #strangerthingsseason4 #StrangerThings4 https://t.co/tm9ZGPaXW7
2022-07-05 17:28:48+00:00,1544372737052999685,7 Things you didn't know Maya Hawke #ThorLoveAndThunder #ENGvsIND #StrangerThings5 #strangerthingsseason4… https://t.co/6QXxuv2s55
2022-07-05 17:28:41+00:00,1544372710041690117,jopper my girl fancam edit #strangerthingsseason4 #StrangerThings4Vol2 https://t.co/zPS7uZuDYQ
2022-07-05 17:28:35+00:00,1544372684884439040,me trying to explain why I think eddie is still alive #strangerthingsseason4  https://t.co/WyjRb95ujq
2022-07-05 17:28:25+00:00,1544372640797696001,Season 5 of Stranger Things would be the perfect setup to bring 8 and her squad with 11 and her squad to fight Vecn… https://t.co/BgrP5vXdmX
2022-07-05 17:28:01+00:00,1544372541090942976,Legit #strangerthingsseason4 #StrangerThings5 https://t.co/sQixOa1efc
2022-07-05 17:28:00+00:00,1544372535214628865,So Max is gonna be fighting Vecna from the inside right? #strangerthingsseason4
2022-07-05 17:27:38+00:00,1544372445532065794,7 Things you didn't know about Natalia Dyer #ThorLoveAndThunder #ENGvsIND #StrangerThings5 #strangerthingsseason4… https://t.co/u9yFjRGSK8
2022-07-05 17:27:24+00:00,1544372387088859136,No wonder Enzo looked familiar. #strangerthingsseason4 IYKYN
2022-07-05 17:27:21+00:00,1544372374686023682,Gonna watch a new episode of #strangerthingsseason4 while I wait for #FinalFantasyXIV to instal! ^^
2022-07-05 17:27:18+00:00,1544372362707083266,7 Things you didn't know about Sadie Sink #ThorLoveAndThunder #ENGvsIND #StrangerThings5 #strangerthingsseason4… https://t.co/fX7FsJG30L
2022-07-05 17:27:02+00:00,1544372294486736896,7 Things you didn't know about Charlie Heaton #ThorLoveAndThunder #ENGvsIND #StrangerThings5 #strangerthingsseason4… https://t.co/xucTHjqq07
2022-07-05 17:26:49+00:00,1544372237008076803,Falling in love with fictional characters is the most pure and beautiful love but also the most painful...… https://t.co/3VkyFTSU9c
2022-07-05 17:26:42+00:00,1544372208197304321,7 Things you didn't know about Noah Schnapp #ThorLoveAndThunder #ENGvsIND #StrangerThings5 #strangerthingsseason4… https://t.co/6IpAGl7Ksi
2022-07-05 17:26:14+00:00,1544372090287132673,"Who's season release was better #strangerthingsseason4 or #UmbrellaAcademyS3 

#StrangerThings4 #UmbrellaAcademy https://t.co/oOakVTuPpn"
2022-07-05 17:26:13+00:00,1544372089737691137,7 Things you didn't know about Gaten Matarazzo #ThorLoveAndThunder #ENGvsIND #StrangerThings5… https://t.co/bOHQ4IeEiW
2022-07-05 17:25:54+00:00,1544372008393363456,"Since everyone is deciding to fancy Hopper this season

I've been on this train since season 1

and made a video ed… https://t.co/bA4XJDhBRi"
2022-07-05 17:25:44+00:00,1544371967624679424,7 Things you didn't know about Finn Wolfhard #ThorLoveAndThunder #ENGvsIND #StrangerThings5 #strangerthingsseason4… https://t.co/T921XJOdLo
2022-07-05 17:24:58+00:00,1544371774711861249,7 Things you didn't know about JackSucksatLife #ThorLoveAndThunder #ENGvsIND #StrangerThings5… https://t.co/jvY27AW1bZ
2022-07-05 17:24:38+00:00,1544371690293149701,"I don't think I'm gonna be able to get over the last episode of #strangerthingsseason4 , I don't think so. Not until season 5 comes out.
🥺"
2022-07-05 17:23:59+00:00,1544371527960985602,7 Things you didn't know about JaackMaate #ThorLoveAndThunder #ENGvsIND #StrangerThings5 #strangerthingsseason4… https://t.co/t225Yd8ySR
2022-07-05 17:23:55+00:00,1544371511200473090,"Someday, this picture will be replicated and then, Boys will be men and the man will be grandpa 👴 ❤
#AshewoSpace… https://t.co/rxukaPqZaY"
2022-07-05 17:23:48+00:00,1544371479332143111,me pretending Eddie will be back and be okay #strangerthingsseason4 https://t.co/JhVn29xwe9
2022-07-05 17:23:30+00:00,1544371405453606912,A couple Stranger Things enamel pin designs for your viewing pleasure! ✨🎸🛼 #hellfireclub #strangerthingsseason4… https://t.co/D0JdYpTwOk
2022-07-05 17:23:01+00:00,1544371284309692416,"I thought #strangerthingsseason4 was the final season, so you can imagine my surprise when it ended the way it did… https://t.co/4IpxZgEepQ"
2022-07-05 17:22:35+00:00,1544371173365936129,"Even more than when I wrote this late last week, #strangerthingsseason4 seems to reflect America's fears and real-l… https://t.co/Z5l2Yl09wG"
2022-07-05 17:22:00+00:00,1544371027517800448,"Get yours now!!
Link in bio ☺️ 
#StrangerThings #strangerthingsseason4 https://t.co/bVCbMQtuHj https://t.co/UwokRQY1Z6"
2022-07-05 17:21:46+00:00,1544370969367699463,Hey @Metallica @netflix just sayin! #strangerthingsseason4 #fancasting #Metallica https://t.co/3xoTUdap8M
2022-07-05 17:21:26+00:00,1544370883644559362,@netflix That’s the best band to ever do it! And they are still rocking !!!! I have been listening to them since I… https://t.co/l3rECWkVVU
2022-07-05 17:21:21+00:00,1544370862882787330,Babysitter Steve will never get old 😂😭🥹 #strangerthingsseason4 https://t.co/Zg4WKmsNUC
2022-07-05 17:21:16+00:00,1544370841303097344,"Kinda feeling guilty for watching in 1.25x lol but in my defence, the episodes really are long!… https://t.co/PzCs8LQHMH"
2022-07-05 17:21:06+00:00,1544370798512717832,"The Duffer Brothers reveal which character died in the first draft of #StrangerThingsSeason4. 

https://t.co/CRCMd7tfIK"
2022-07-05 17:21:02+00:00,1544370784696557570,Stranger things really played out “Running up that hill” Quick. Like damn every episode?? #StrangerThings… https://t.co/rqRTm7U925
