,Datetime,Tweet Id,Text,tweet_clean,no_emoji
3048,2022-07-04 18:35:54+00:00,1544027237883723777,The absolute moment ive been waiting for #EDDIEMUNSON #Metallica #masterofpuppets #strangerthingsseason4… https://t.co/1KGGmWJOvv,The absolute moment been waiting for strangerthingsseason4 …,The absolute moment been waiting for strangerthingsseason4 …
3049,2022-07-04 18:35:44+00:00,1544027194019700738,@cass_rap Ok I’m 17 min to Ep 8. Will is def gay or questioning or something and I’m here for it WE STAN WILL BYERS #strangerthingsseason4,rap I ’ m 17 min to 8 . Will is gay or or something and I ’ m here for it WE WILL strangerthingsseason4,rap I ’ m 17 min to 8 . Will is gay or or something and I ’ m here for it WE WILL strangerthingsseason4
3050,2022-07-04 18:35:30+00:00,1544027135140016128,"Eddie Munson is the superhero of the town of Hawkins 
#strangerthingsseason4",is the superhero of the town of strangerthingsseason4,is the superhero of the town of strangerthingsseason4
3051,2022-07-04 18:35:16+00:00,1544027079087308800,So y’all couldn’t of matched Winona Ryder’s bottom row of veneers to the top? Got her bottom teefs looking like the… https://t.co/Ka7RbLwsaE,So y ’ all ’ t of Ryder ’ s bottom row of to the top ? Got her bottom looking like the …,So y ’ all ’ t of Ryder ’ s bottom row of to the top ? Got her bottom looking like the …
3052,2022-07-04 18:35:08+00:00,1544027043612004355,The fact that Joseph Quinn actually played Master of Puppets on the guitar🤯😍 #strangerthingsseason4,The fact that actually Master of on the guitar 🤯😍 strangerthingsseason4,The fact that actually Master of on the guitar exploding headheart eyes strangerthingsseason4
3053,2022-07-04 18:34:50+00:00,1544026969410572291,#strangerthingsseason4 episodes are just far too long !,strangerthingsseason4 are just far too long !,strangerthingsseason4 are just far too long !
3054,2022-07-04 18:34:48+00:00,1544026957804888068,Finally watching #strangerthingsseason4 vol.2!,Finally watching strangerthingsseason4 vol . 2 !,Finally watching strangerthingsseason4 vol . 2 !
3055,2022-07-04 18:34:46+00:00,1544026950892720130,Please &amp; Thank you 🤘🏼 Over 400 million on #TikTok Drop That Mf (Creator) #strangerthingsseason4 https://t.co/szpHmV5aqI,Please & ; Thank you 🤘🏼 Over 400 million on Drop That ( Creator ) strangerthingsseason4,Please & ; Thank you sign of the horns medium light skin tone Over 400 million on Drop That ( Creator ) strangerthingsseason4
3056,2022-07-04 18:34:46+00:00,1544026950028640257,Time for #strangerthingsseason4 final episode! …. I can’t imagine it’s gonna disappoint,Time for strangerthingsseason4 final episode ! …. I can ’ t imagine it ’ s disappoint,Time for strangerthingsseason4 final episode ! …. I can ’ t imagine it ’ s disappoint
3057,2022-07-04 18:34:41+00:00,1544026932462981122,"This guys had done a great job🤩.
I would recommend that series to everyone who has not watched it.

#StrangerThings… https://t.co/6cXs2jARKo",This had done a great job 🤩. I would recommend that series to everyone who not watched it . …,This had done a great job star struck. I would recommend that series to everyone who not watched it . …
